id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
1,"Ambérieu-en-Bugey",01500,3,13839,2011,2024,31373.92445,9.41594371248499,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
2,"Ambérieu-en-Bugey",01500,3,14081,2016,2024,31373.92445,9.41594371248499,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
3,"Ambérieu-en-Bugey",01500,3,15554,2022,2024,31373.92445,9.41594371248499,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
4,Ambronay,01500,6,2365,2011,2024,1693.93423,10.521330621118,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
5,Ambronay,01500,6,2684,2016,2024,1693.93423,10.521330621118,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
6,Ambronay,01500,6,2828,2022,2024,1693.93423,10.521330621118,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
7,Ambutrix,01500,3,734,2011,2024,340.32023,9.45333972222222,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
8,Ambutrix,01500,3,750,2016,2024,340.32023,9.45333972222222,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
9,Ambutrix,01500,3,764,2022,2024,340.32023,9.45333972222222,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
10,Arbent,01100,1,3458,2011,2024,6201.64959,12.528585030303,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
11,Arbent,01100,1,3379,2016,2024,6201.64959,12.528585030303,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
12,Arbent,01100,1,3482,2022,2024,6201.64959,12.528585030303,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
13,Ars-sur-Formans,01480,1,1374,2011,2024,2713.02778,10.597764765625,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
